Time,Model,Class,Confidence,Snapshot
2025-07-10_18-55-02,PPE,No Helmet,0.6,snapshots/PPE_No Helmet_2025-07-10_18-55-02.jpg
2025-07-10_18-55-02,PPE,IFR suit,0.52,snapshots/PPE_IFR suit_2025-07-10_18-55-02.jpg
2025-07-10_18-55-03,PPE,IFR suit,0.52,snapshots/PPE_IFR suit_2025-07-10_18-55-03.jpg
2025-07-10_18-55-03,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_18-55-03.jpg
2025-07-10_18-55-03,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_18-55-03.jpg
2025-07-10_18-55-04,PPE,IFR suit,0.52,snapshots/PPE_IFR suit_2025-07-10_18-55-04.jpg
2025-07-10_18-55-04,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_18-55-04.jpg
2025-07-10_18-55-04,PPE,IFR suit,0.54,snapshots/PPE_IFR suit_2025-07-10_18-55-04.jpg
2025-07-10_18-55-04,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_18-55-04.jpg
2025-07-10_18-55-05,PPE,IFR suit,0.55,snapshots/PPE_IFR suit_2025-07-10_18-55-05.jpg
2025-07-10_18-55-05,PPE,IFR suit,0.57,snapshots/PPE_IFR suit_2025-07-10_18-55-05.jpg
2025-07-10_18-55-05,PPE,IFR suit,0.53,snapshots/PPE_IFR suit_2025-07-10_18-55-05.jpg
2025-07-10_18-55-05,PPE,IFR suit,0.63,snapshots/PPE_IFR suit_2025-07-10_18-55-05.jpg
2025-07-10_18-55-06,PPE,IFR suit,0.55,snapshots/PPE_IFR suit_2025-07-10_18-55-06.jpg
2025-07-10_18-55-06,PPE,No Helmet,0.51,snapshots/PPE_No Helmet_2025-07-10_18-55-06.jpg
2025-07-10_18-55-06,PPE,No Helmet,0.58,snapshots/PPE_No Helmet_2025-07-10_18-55-06.jpg
2025-07-10_18-55-10,PPE,No Gloves,0.57,snapshots/PPE_No Gloves_2025-07-10_18-55-10.jpg
2025-07-10_18-55-10,PPE,No Gloves,0.56,snapshots/PPE_No Gloves_2025-07-10_18-55-10.jpg
2025-07-10_18-55-13,PPE,No Gloves,0.52,snapshots/PPE_No Gloves_2025-07-10_18-55-13.jpg
2025-07-10_18-55-14,PPE,IFR suit,0.53,snapshots/PPE_IFR suit_2025-07-10_18-55-14.jpg
2025-07-10_18-55-16,PPE,No Helmet,0.54,snapshots/PPE_No Helmet_2025-07-10_18-55-16.jpg
2025-07-10_18-55-17,PPE,No Helmet,0.53,snapshots/PPE_No Helmet_2025-07-10_18-55-17.jpg
2025-07-10_18-55-18,PPE,No Helmet,0.55,snapshots/PPE_No Helmet_2025-07-10_18-55-18.jpg
2025-07-10_18-55-18,FireSmoke,fire,0.52,snapshots/FireSmoke_fire_2025-07-10_18-55-18.jpg
2025-07-10_18-55-18,PPE,IFR suit,0.52,snapshots/PPE_IFR suit_2025-07-10_18-55-18.jpg
2025-07-10_18-55-20,PPE,IFR suit,0.58,snapshots/PPE_IFR suit_2025-07-10_18-55-20.jpg
2025-07-10_18-55-21,PPE,No Helmet,0.66,snapshots/PPE_No Helmet_2025-07-10_18-55-21.jpg
2025-07-10_18-55-22,PPE,No Helmet,0.53,snapshots/PPE_No Helmet_2025-07-10_18-55-22.jpg
2025-07-10_18-55-22,PPE,No Gloves,0.51,snapshots/PPE_No Gloves_2025-07-10_18-55-22.jpg
2025-07-10_18-55-22,PPE,No Gloves,0.69,snapshots/PPE_No Gloves_2025-07-10_18-55-22.jpg
2025-07-10_18-55-22,FireSmoke,fire,0.55,snapshots/FireSmoke_fire_2025-07-10_18-55-22.jpg
2025-07-10_18-55-22,PPE,No Gloves,0.65,snapshots/PPE_No Gloves_2025-07-10_18-55-22.jpg
2025-07-10_18-55-22,FireSmoke,fire,0.5,snapshots/FireSmoke_fire_2025-07-10_18-55-22.jpg
2025-07-10_18-55-26,PPE,No Gloves,0.5,snapshots/PPE_No Gloves_2025-07-10_18-55-26.jpg
2025-07-10_18-55-27,PPE,IFR suit,0.52,snapshots/PPE_IFR suit_2025-07-10_18-55-27.jpg
2025-07-10_18-55-27,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_18-55-27.jpg
2025-07-10_18-55-28,PPE,IFR suit,0.54,snapshots/PPE_IFR suit_2025-07-10_18-55-28.jpg
2025-07-10_18-55-28,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_18-55-28.jpg
2025-07-10_18-55-28,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_18-55-28.jpg
2025-07-10_18-55-32,PPE,IFR suit,0.6,snapshots/PPE_IFR suit_2025-07-10_18-55-32.jpg
2025-07-10_18-55-32,PPE,IFR suit,0.58,snapshots/PPE_IFR suit_2025-07-10_18-55-32.jpg
2025-07-10_18-55-33,PPE,IFR suit,0.62,snapshots/PPE_IFR suit_2025-07-10_18-55-33.jpg
2025-07-10_18-55-33,PPE,IFR suit,0.61,snapshots/PPE_IFR suit_2025-07-10_18-55-33.jpg
2025-07-10_18-55-33,PPE,IFR suit,0.62,snapshots/PPE_IFR suit_2025-07-10_18-55-33.jpg
2025-07-10_18-55-33,PPE,IFR suit,0.62,snapshots/PPE_IFR suit_2025-07-10_18-55-33.jpg
2025-07-10_18-55-34,PPE,IFR suit,0.62,snapshots/PPE_IFR suit_2025-07-10_18-55-34.jpg
2025-07-10_18-55-34,PPE,IFR suit,0.63,snapshots/PPE_IFR suit_2025-07-10_18-55-34.jpg
2025-07-10_18-55-34,PPE,IFR suit,0.6,snapshots/PPE_IFR suit_2025-07-10_18-55-34.jpg
2025-07-10_18-55-35,PPE,IFR suit,0.58,snapshots/PPE_IFR suit_2025-07-10_18-55-35.jpg
2025-07-10_18-55-35,PPE,IFR suit,0.62,snapshots/PPE_IFR suit_2025-07-10_18-55-35.jpg
2025-07-10_18-55-35,PPE,IFR suit,0.67,snapshots/PPE_IFR suit_2025-07-10_18-55-35.jpg
2025-07-10_18-55-35,PPE,IFR suit,0.64,snapshots/PPE_IFR suit_2025-07-10_18-55-35.jpg
2025-07-10_18-55-36,PPE,IFR suit,0.64,snapshots/PPE_IFR suit_2025-07-10_18-55-36.jpg
2025-07-10_18-55-36,PPE,IFR suit,0.61,snapshots/PPE_IFR suit_2025-07-10_18-55-36.jpg
2025-07-10_18-55-36,PPE,IFR suit,0.58,snapshots/PPE_IFR suit_2025-07-10_18-55-36.jpg
2025-07-10_18-55-36,PPE,IFR suit,0.55,snapshots/PPE_IFR suit_2025-07-10_18-55-36.jpg
2025-07-10_18-55-36,PPE,People,0.53,snapshots/PPE_People_2025-07-10_18-55-36.jpg
2025-07-10_18-55-37,PPE,IFR suit,0.59,snapshots/PPE_IFR suit_2025-07-10_18-55-37.jpg
2025-07-10_18-55-37,PPE,People,0.54,snapshots/PPE_People_2025-07-10_18-55-37.jpg
2025-07-10_18-55-46,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_18-55-46.jpg
2025-07-10_18-55-50,PPE,IFR suit,0.53,snapshots/PPE_IFR suit_2025-07-10_18-55-50.jpg
2025-07-10_18-55-50,PPE,IFR suit,0.68,snapshots/PPE_IFR suit_2025-07-10_18-55-50.jpg
2025-07-10_18-55-50,PPE,IFR suit,0.56,snapshots/PPE_IFR suit_2025-07-10_18-55-50.jpg
2025-07-10_18-55-51,PPE,IFR suit,0.56,snapshots/PPE_IFR suit_2025-07-10_18-55-51.jpg
2025-07-10_18-55-51,PPE,IFR suit,0.57,snapshots/PPE_IFR suit_2025-07-10_18-55-51.jpg
2025-07-10_18-55-51,PPE,No Helmet,0.54,snapshots/PPE_No Helmet_2025-07-10_18-55-51.jpg
2025-07-10_18-55-51,PPE,No Helmet,0.56,snapshots/PPE_No Helmet_2025-07-10_18-55-51.jpg
2025-07-10_18-55-52,PPE,No Helmet,0.56,snapshots/PPE_No Helmet_2025-07-10_18-55-52.jpg
2025-07-10_18-55-52,PPE,No Helmet,0.54,snapshots/PPE_No Helmet_2025-07-10_18-55-52.jpg
2025-07-10_18-55-53,PPE,IFR suit,0.55,snapshots/PPE_IFR suit_2025-07-10_18-55-53.jpg
2025-07-10_18-55-53,PPE,No Helmet,0.53,snapshots/PPE_No Helmet_2025-07-10_18-55-53.jpg
2025-07-10_18-55-53,PPE,No Helmet,0.51,snapshots/PPE_No Helmet_2025-07-10_18-55-53.jpg
2025-07-10_18-55-53,PPE,No Helmet,0.6,snapshots/PPE_No Helmet_2025-07-10_18-55-53.jpg
2025-07-10_18-55-54,PPE,No Helmet,0.62,snapshots/PPE_No Helmet_2025-07-10_18-55-54.jpg
2025-07-10_18-55-54,PPE,No Helmet,0.53,snapshots/PPE_No Helmet_2025-07-10_18-55-54.jpg
2025-07-10_18-55-54,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_18-55-54.jpg
2025-07-10_18-55-54,PPE,IFR suit,0.54,snapshots/PPE_IFR suit_2025-07-10_18-55-54.jpg
2025-07-10_18-55-56,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_18-55-56.jpg
2025-07-10_18-55-57,PPE,IFR suit,0.62,snapshots/PPE_IFR suit_2025-07-10_18-55-57.jpg
2025-07-10_18-55-57,PPE,IFR suit,0.53,snapshots/PPE_IFR suit_2025-07-10_18-55-57.jpg
2025-07-10_18-55-57,PPE,No Helmet,0.64,snapshots/PPE_No Helmet_2025-07-10_18-55-57.jpg
2025-07-10_18-55-57,PPE,IFR suit,0.6,snapshots/PPE_IFR suit_2025-07-10_18-55-57.jpg
2025-07-10_18-55-57,PPE,IFR suit,0.57,snapshots/PPE_IFR suit_2025-07-10_18-55-57.jpg
2025-07-10_18-55-58,PPE,IFR suit,0.69,snapshots/PPE_IFR suit_2025-07-10_18-55-58.jpg
2025-07-10_18-55-58,PPE,IFR suit,0.54,snapshots/PPE_IFR suit_2025-07-10_18-55-58.jpg
2025-07-10_18-55-58,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_18-55-58.jpg
2025-07-10_18-55-59,PPE,IFR suit,0.69,snapshots/PPE_IFR suit_2025-07-10_18-55-59.jpg
2025-07-10_18-55-59,PPE,IFR suit,0.66,snapshots/PPE_IFR suit_2025-07-10_18-55-59.jpg
2025-07-10_18-56-00,PPE,IFR suit,0.77,snapshots/PPE_IFR suit_2025-07-10_18-56-00.jpg
2025-07-10_18-56-01,PPE,No IFR,0.51,snapshots/PPE_No IFR_2025-07-10_18-56-01.jpg
2025-07-10_18-56-06,PPE,No Helmet,0.51,snapshots/PPE_No Helmet_2025-07-10_18-56-06.jpg
2025-07-10_18-56-07,PPE,No IFR,0.57,snapshots/PPE_No IFR_2025-07-10_18-56-07.jpg
2025-07-10_18-56-07,PPE,No IFR,0.52,snapshots/PPE_No IFR_2025-07-10_18-56-07.jpg
2025-07-10_18-56-07,PPE,No IFR,0.53,snapshots/PPE_No IFR_2025-07-10_18-56-07.jpg
2025-07-10_18-56-07,PPE,No IFR,0.62,snapshots/PPE_No IFR_2025-07-10_18-56-07.jpg
2025-07-10_18-56-07,PPE,No Helmet,0.57,snapshots/PPE_No Helmet_2025-07-10_18-56-07.jpg
2025-07-10_18-56-08,PPE,No IFR,0.62,snapshots/PPE_No IFR_2025-07-10_18-56-08.jpg
2025-07-10_18-56-08,PPE,No Helmet,0.57,snapshots/PPE_No Helmet_2025-07-10_18-56-08.jpg
2025-07-10_18-56-08,PPE,No Helmet,0.64,snapshots/PPE_No Helmet_2025-07-10_18-56-08.jpg
2025-07-10_18-56-08,PPE,No IFR,0.53,snapshots/PPE_No IFR_2025-07-10_18-56-08.jpg
2025-07-10_18-56-08,PPE,No IFR,0.61,snapshots/PPE_No IFR_2025-07-10_18-56-08.jpg
2025-07-10_18-56-08,PPE,No Helmet,0.6,snapshots/PPE_No Helmet_2025-07-10_18-56-08.jpg
2025-07-10_18-56-08,PPE,No IFR,0.56,snapshots/PPE_No IFR_2025-07-10_18-56-08.jpg
2025-07-10_18-56-09,PPE,No Helmet,0.58,snapshots/PPE_No Helmet_2025-07-10_18-56-09.jpg
2025-07-10_18-56-09,PPE,No IFR,0.51,snapshots/PPE_No IFR_2025-07-10_18-56-09.jpg
2025-07-10_18-56-09,PPE,No Helmet,0.58,snapshots/PPE_No Helmet_2025-07-10_18-56-09.jpg
2025-07-10_18-56-09,PPE,No IFR,0.53,snapshots/PPE_No IFR_2025-07-10_18-56-09.jpg
2025-07-10_18-56-09,PPE,No Helmet,0.64,snapshots/PPE_No Helmet_2025-07-10_18-56-09.jpg
2025-07-10_18-56-10,PPE,No IFR,0.56,snapshots/PPE_No IFR_2025-07-10_18-56-10.jpg
2025-07-10_18-56-10,PPE,No Helmet,0.54,snapshots/PPE_No Helmet_2025-07-10_18-56-10.jpg
2025-07-10_18-56-10,PPE,No Helmet,0.58,snapshots/PPE_No Helmet_2025-07-10_18-56-10.jpg
2025-07-10_18-56-10,PPE,No Helmet,0.68,snapshots/PPE_No Helmet_2025-07-10_18-56-10.jpg
2025-07-10_18-56-10,PPE,No IFR,0.6,snapshots/PPE_No IFR_2025-07-10_18-56-10.jpg
2025-07-10_18-56-10,PPE,No Helmet,0.65,snapshots/PPE_No Helmet_2025-07-10_18-56-10.jpg
2025-07-10_18-56-10,PPE,No IFR,0.6,snapshots/PPE_No IFR_2025-07-10_18-56-10.jpg
2025-07-10_18-56-11,PPE,No Helmet,0.59,snapshots/PPE_No Helmet_2025-07-10_18-56-11.jpg
2025-07-10_18-56-11,PPE,No IFR,0.55,snapshots/PPE_No IFR_2025-07-10_18-56-11.jpg
2025-07-10_18-56-11,PPE,No Helmet,0.7,snapshots/PPE_No Helmet_2025-07-10_18-56-11.jpg
2025-07-10_18-56-11,PPE,No IFR,0.56,snapshots/PPE_No IFR_2025-07-10_18-56-11.jpg
2025-07-10_18-56-11,PPE,No Helmet,0.66,snapshots/PPE_No Helmet_2025-07-10_18-56-11.jpg
2025-07-10_18-56-12,PPE,No Helmet,0.58,snapshots/PPE_No Helmet_2025-07-10_18-56-12.jpg
2025-07-10_18-56-12,PPE,No IFR,0.56,snapshots/PPE_No IFR_2025-07-10_18-56-12.jpg
2025-07-10_18-56-12,PPE,No Helmet,0.64,snapshots/PPE_No Helmet_2025-07-10_18-56-12.jpg
2025-07-10_18-56-12,PPE,No Helmet,0.65,snapshots/PPE_No Helmet_2025-07-10_18-56-12.jpg
2025-07-10_18-56-12,PPE,No IFR,0.54,snapshots/PPE_No IFR_2025-07-10_18-56-12.jpg
2025-07-10_18-56-12,PPE,No Helmet,0.66,snapshots/PPE_No Helmet_2025-07-10_18-56-12.jpg
2025-07-10_18-56-12,PPE,No IFR,0.52,snapshots/PPE_No IFR_2025-07-10_18-56-12.jpg
2025-07-10_18-56-13,PPE,No Helmet,0.74,snapshots/PPE_No Helmet_2025-07-10_18-56-13.jpg
2025-07-10_18-56-13,PPE,No IFR,0.54,snapshots/PPE_No IFR_2025-07-10_18-56-13.jpg
2025-07-10_18-56-13,PPE,No Helmet,0.68,snapshots/PPE_No Helmet_2025-07-10_18-56-13.jpg
2025-07-10_18-56-13,PPE,No IFR,0.56,snapshots/PPE_No IFR_2025-07-10_18-56-13.jpg
2025-07-10_18-56-13,PPE,No IFR,0.63,snapshots/PPE_No IFR_2025-07-10_18-56-13.jpg
2025-07-10_18-56-13,PPE,No Helmet,0.6,snapshots/PPE_No Helmet_2025-07-10_18-56-13.jpg
2025-07-10_18-56-14,PPE,No Helmet,0.6,snapshots/PPE_No Helmet_2025-07-10_18-56-14.jpg
2025-07-10_18-56-14,PPE,No IFR,0.57,snapshots/PPE_No IFR_2025-07-10_18-56-14.jpg
2025-07-10_18-56-14,PPE,No Helmet,0.59,snapshots/PPE_No Helmet_2025-07-10_18-56-14.jpg
2025-07-10_18-56-14,PPE,No Helmet,0.52,snapshots/PPE_No Helmet_2025-07-10_18-56-14.jpg
2025-07-10_18-56-15,PPE,No IFR,0.55,snapshots/PPE_No IFR_2025-07-10_18-56-15.jpg
2025-07-10_18-56-15,PPE,No IFR,0.57,snapshots/PPE_No IFR_2025-07-10_18-56-15.jpg
2025-07-10_18-56-16,PPE,No Helmet,0.57,snapshots/PPE_No Helmet_2025-07-10_18-56-16.jpg
2025-07-10_18-56-16,PPE,IFR suit,0.61,snapshots/PPE_IFR suit_2025-07-10_18-56-16.jpg
2025-07-10_18-56-16,PPE,No Helmet,0.52,snapshots/PPE_No Helmet_2025-07-10_18-56-16.jpg
2025-07-10_18-56-16,PPE,No IFR,0.52,snapshots/PPE_No IFR_2025-07-10_18-56-16.jpg
2025-07-10_18-56-17,PPE,No Helmet,0.62,snapshots/PPE_No Helmet_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,No Helmet,0.53,snapshots/PPE_No Helmet_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,No Helmet,0.65,snapshots/PPE_No Helmet_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,IFR suit,0.63,snapshots/PPE_IFR suit_2025-07-10_18-56-17.jpg
2025-07-10_18-56-17,PPE,No Helmet,0.55,snapshots/PPE_No Helmet_2025-07-10_18-56-17.jpg
2025-07-10_18-56-18,PPE,No Helmet,0.69,snapshots/PPE_No Helmet_2025-07-10_18-56-18.jpg
2025-07-10_18-56-18,PPE,No Helmet,0.62,snapshots/PPE_No Helmet_2025-07-10_18-56-18.jpg
2025-07-10_18-56-18,PPE,No Helmet,0.57,snapshots/PPE_No Helmet_2025-07-10_18-56-18.jpg
2025-07-10_18-56-18,PPE,No Helmet,0.69,snapshots/PPE_No Helmet_2025-07-10_18-56-18.jpg
2025-07-10_18-56-19,PPE,No Helmet,0.74,snapshots/PPE_No Helmet_2025-07-10_18-56-19.jpg
2025-07-10_18-56-19,PPE,No Helmet,0.71,snapshots/PPE_No Helmet_2025-07-10_18-56-19.jpg
2025-07-10_18-56-20,PPE,No Helmet,0.56,snapshots/PPE_No Helmet_2025-07-10_18-56-20.jpg
2025-07-10_18-56-20,PPE,No Helmet,0.53,snapshots/PPE_No Helmet_2025-07-10_18-56-20.jpg
2025-07-10_18-56-21,PPE,No Helmet,0.55,snapshots/PPE_No Helmet_2025-07-10_18-56-21.jpg
2025-07-10_18-56-21,PPE,No Helmet,0.57,snapshots/PPE_No Helmet_2025-07-10_18-56-21.jpg
2025-07-10_18-56-22,PPE,No Helmet,0.61,snapshots/PPE_No Helmet_2025-07-10_18-56-22.jpg
2025-07-10_18-56-22,PPE,No Helmet,0.66,snapshots/PPE_No Helmet_2025-07-10_18-56-22.jpg
2025-07-10_18-56-22,PPE,No Helmet,0.64,snapshots/PPE_No Helmet_2025-07-10_18-56-22.jpg
2025-07-10_18-56-23,PPE,No Helmet,0.6,snapshots/PPE_No Helmet_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,No Helmet,0.71,snapshots/PPE_No Helmet_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,IFR suit,0.57,snapshots/PPE_IFR suit_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,No Helmet,0.63,snapshots/PPE_No Helmet_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,No IFR,0.5,snapshots/PPE_No IFR_2025-07-10_18-56-23.jpg
2025-07-10_18-56-23,PPE,No Helmet,0.72,snapshots/PPE_No Helmet_2025-07-10_18-56-23.jpg
2025-07-10_18-56-24,PPE,No Helmet,0.59,snapshots/PPE_No Helmet_2025-07-10_18-56-24.jpg
2025-07-10_18-56-24,PPE,No IFR,0.52,snapshots/PPE_No IFR_2025-07-10_18-56-24.jpg
2025-07-10_18-56-24,PPE,No IFR,0.64,snapshots/PPE_No IFR_2025-07-10_18-56-24.jpg
2025-07-10_18-56-24,PPE,No Helmet,0.59,snapshots/PPE_No Helmet_2025-07-10_18-56-24.jpg
2025-07-10_18-56-24,PPE,No IFR,0.56,snapshots/PPE_No IFR_2025-07-10_18-56-24.jpg
2025-07-10_18-56-27,FireSmoke,fire,0.59,snapshots/FireSmoke_fire_2025-07-10_18-56-27.jpg
2025-07-10_18-56-53,PPE,IFR suit,0.58,snapshots/PPE_IFR suit_2025-07-10_18-56-53.jpg
2025-07-10_18-56-53,PPE,IFR suit,0.63,snapshots/PPE_IFR suit_2025-07-10_18-56-53.jpg
2025-07-10_18-56-53,PPE,IFR suit,0.72,snapshots/PPE_IFR suit_2025-07-10_18-56-53.jpg
2025-07-10_18-56-53,PPE,IFR suit,0.74,snapshots/PPE_IFR suit_2025-07-10_18-56-53.jpg
2025-07-10_18-56-54,PPE,IFR suit,0.58,snapshots/PPE_IFR suit_2025-07-10_18-56-54.jpg
2025-07-10_18-56-59,PPE,No Helmet,0.52,snapshots/PPE_No Helmet_2025-07-10_18-56-59.jpg
2025-07-10_18-57-00,PPE,IFR suit,0.61,snapshots/PPE_IFR suit_2025-07-10_18-57-00.jpg
2025-07-10_18-57-29,PPE,IFR suit,0.54,snapshots/PPE_IFR suit_2025-07-10_18-57-29.jpg
2025-07-10_18-57-30,PPE,IFR suit,0.62,snapshots/PPE_IFR suit_2025-07-10_18-57-30.jpg
2025-07-10_18-57-36,PPE,IFR suit,0.59,snapshots/PPE_IFR suit_2025-07-10_18-57-36.jpg
2025-07-10_18-57-37,PPE,IFR suit,0.53,snapshots/PPE_IFR suit_2025-07-10_18-57-37.jpg
2025-07-10_19-00-59,PPE,Helmet,0.65,snapshots/PPE_Helmet_2025-07-10_19-00-59.jpg
2025-07-10_19-01-09,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_19-01-09.jpg
2025-07-10_19-01-10,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_19-01-10.jpg
2025-07-10_19-01-11,PPE,IFR suit,0.56,snapshots/PPE_IFR suit_2025-07-10_19-01-11.jpg
2025-07-10_19-01-12,PPE,No Gloves,0.59,snapshots/PPE_No Gloves_2025-07-10_19-01-12.jpg
2025-07-10_19-01-12,PPE,No Gloves,0.6,snapshots/PPE_No Gloves_2025-07-10_19-01-12.jpg
2025-07-10_19-01-13,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,No Gloves,0.53,snapshots/PPE_No Gloves_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,No Gloves,0.57,snapshots/PPE_No Gloves_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,No Gloves,0.57,snapshots/PPE_No Gloves_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,No Gloves,0.52,snapshots/PPE_No Gloves_2025-07-10_19-01-13.jpg
2025-07-10_19-01-14,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_19-01-14.jpg
2025-07-10_19-01-15,PPE,No Gloves,0.52,snapshots/PPE_No Gloves_2025-07-10_19-01-15.jpg
2025-07-10_19-01-15,PPE,No Gloves,0.59,snapshots/PPE_No Gloves_2025-07-10_19-01-15.jpg
2025-07-10_19-01-16,PPE,No Gloves,0.52,snapshots/PPE_No Gloves_2025-07-10_19-01-16.jpg
